price,num_bedrooms,num_bathrooms,size_sqft,rate_per_sqft,lat,long,amenities__num_parking,amenities__pet_friendly,amenities__furnished,amenities__air_conditioning,amenities__smoking_permitted,amenities__barrier_free_entrances_ramps,amenities__visual_aids,amenities__accessible_washrooms_in_suite,amenities__heat,amenities__hydro,amenities__water,amenities__cable_tv,amenities__internet,amenities__laundry_unit,amenities__laundry_building,amenities__dishwasher,amenities__fridge_freezer,amenities__yard,amenities__balcony,amenities__building_security,amenities__building_elevator,amenities__building_gym,amenities__bycycle_parking,amenities__storage_space,agreement_type_encoded,days_until_move_in
2100.0,2.0,1.0,1200.0,1.75,44.6030243,-63.6143276,0.0,True,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,0,37
2400.0,2.0,1.0,950.0,2.53,44.6363666,-63.5745181,1.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,0,37
2200.0,2.0,1.0,500.0,4.4,44.6555223,-63.6010298,0.0,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,7
1975.0,1.0,1.0,500.0,3.95,44.67509715,-63.676904077737504,0.0,True,False,False,True,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,0,160
2300.0,2.0,2.0,500.0,4.6,44.6495579,-63.6559124,0.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,0,160
2050.0,2.0,1.0,500.0,4.1,44.6324463,-63.6200348,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,0,160
1995.0,1.0,1.0,620.0,3.22,44.6526515,-63.5808535,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,0,160
1760.0,1.0,1.0,600.0,2.93,44.648618,-63.5859487,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,0,161
2095.0,1.0,1.0,900.0,2.33,44.6595131,-63.5947171,0.0,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0,69
1000.0,1.0,1.0,400.0,2.5,44.648618,-63.5859487,1.0,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,0,8
1550.0,1.0,1.0,575.0,2.7,44.6371524,-63.5714455785789,0.0,True,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,0,38
3000.0,3.0,2.0,500.0,6.0,44.6436122,-63.6085895,2.0,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,0,8
1750.0,1.0,1.0,600.0,2.92,44.6510097,-63.5835693,0.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,38
2500.0,3.0,1.0,1000.0,2.5,44.6532862,-63.6083197,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,38
2720.0,3.0,2.0,500.0,5.44,44.7022714,-63.67707933384274,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,0,8
1800.0,1.0,1.0,500.0,3.6,44.6971479,-63.7557042,1.0,True,True,False,False,True,False,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,0,8
1795.0,1.0,1.0,500.0,3.59,44.66343585,-63.60311140895306,0.0,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0,9
2295.0,2.0,1.0,500.0,4.59,44.65947285,-63.65855762544642,0.0,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,0,84
1995.0,2.0,1.0,500.0,3.99,44.6550507,-63.6013581,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,0,53
1995.0,1.0,1.0,500.0,3.99,44.65642465,-63.59019350435814,0.0,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0,39
1695.0,1.0,1.0,500.0,3.39,44.6184215,-63.62146509062771,1.0,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,0,23
2700.0,2.0,2.0,1500.0,1.8,44.6408363,-63.5884343,0.0,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,1,39
2395.0,2.0,2.0,995.0,2.41,44.6556847,-63.5988028,0.0,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,0,39
